,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,00:00,49.88,49.96,49.9,49.9,49.89,49.89,49.82,49.86,49.74,49.69,50.0,49.84,49.81,49.88,49.96,49.84,49.79,49.91,49.94,49.93,49.87,49.97,49.83,49.73,49.97,49.83,49.86,49.73,49.7,49.83
1,00:15,49.96,50.0,49.84,49.87,49.88,49.8,49.76,49.84,49.86,49.9,50.02,49.76,49.78,49.97,49.97,49.89,49.94,49.89,49.95,49.99,49.8,50.0,49.73,49.88,49.88,49.83,49.82,49.74,49.82,49.92
2,00:30,49.98,49.99,49.9,49.93,49.92,49.85,49.63,49.73,49.87,49.97,50.02,49.89,49.79,49.91,49.96,49.94,49.95,49.82,49.83,49.85,49.68,50.0,49.85,49.88,49.87,49.89,49.74,49.67,49.89,49.98
3,00:45,49.99,50.01,49.93,49.99,49.99,49.87,49.7,49.63,49.89,49.89,50.01,49.95,49.73,49.83,49.99,49.91,49.95,49.88,49.87,50.0,49.71,49.99,49.93,49.87,49.93,49.89,49.76,49.95,49.86,49.94
4,01:00,50.0,50.01,49.97,49.99,49.99,49.78,49.74,49.66,49.83,49.92,50.0,50.0,49.71,49.89,49.99,49.9,49.9,49.91,49.95,49.95,49.82,49.98,49.86,49.77,49.93,49.85,49.84,49.88,49.83,49.95
5,01:15,50.0,50.0,49.97,49.99,49.96,49.86,49.75,49.74,49.77,50.0,50.0,49.98,49.72,49.92,50.01,49.99,49.81,49.86,49.92,49.85,49.79,49.97,49.93,49.78,49.95,49.87,49.97,49.89,49.82,50.02
6,01:30,50.01,50.0,49.99,49.99,49.98,49.82,49.86,49.78,49.84,49.97,49.96,49.95,49.86,49.88,50.0,49.89,49.95,49.85,49.84,49.95,49.72,49.85,49.89,49.83,49.93,49.82,49.89,49.9,49.86,49.98
7,01:45,50.02,50.01,50.0,49.98,49.99,49.82,49.95,49.9,49.92,50.0,50.0,49.89,49.96,49.9,50.02,49.97,49.97,49.92,49.93,49.92,49.9,49.97,50.0,49.98,50.01,49.86,49.99,49.96,49.83,50.0
8,02:00,50.02,50.0,49.97,49.96,49.99,49.89,49.93,49.87,49.98,49.95,49.96,49.96,49.94,49.91,50.03,49.99,49.94,49.9,49.91,49.87,49.76,49.93,49.84,49.89,49.9,49.83,49.84,49.88,49.7,49.9
9,02:15,50.02,49.98,49.96,49.97,49.98,49.93,49.79,49.82,49.94,49.97,49.95,49.89,49.88,49.94,50.01,49.98,49.91,49.87,49.94,49.91,49.76,49.93,49.9,49.82,49.99,49.83,49.89,49.76,49.7,50.0
