Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00,50.05,49.97,50.0,50.01,50.15,50.0,50.07,50.12,50.02,49.97,50.01,50.2,50.01,49.95,50.13,49.99,49.82,50.04,49.94,50.01,50.09,50.1,50.01,49.97,50.02,50.27,49.99,49.99,49.95,49.99,50.02
00:15,50.0,49.95,49.99,49.95,50.11,50.02,50.12,50.02,50.06,49.97,49.99,50.1,49.97,49.98,50.05,49.98,49.79,50.03,49.86,50.0,49.99,50.07,50.03,50.0,50.01,50.29,49.98,49.97,50.01,50.01,49.99
00:30,50.0,49.92,50.0,49.86,50.09,49.97,50.02,50.01,50.05,49.95,49.97,50.01,49.9,49.93,50.0,49.93,49.74,49.94,49.71,50.0,50.0,50.04,49.98,49.9,50.03,50.19,49.97,49.97,49.98,49.97,49.97
00:45,49.97,49.99,49.98,49.93,50.0,50.0,50.03,49.97,50.02,49.98,49.99,50.01,49.98,49.96,50.01,49.88,49.8,49.98,49.84,50.02,50.01,49.99,49.98,49.89,50.1,50.01,50.0,49.98,49.93,49.95,49.99
01:00,49.98,50.0,50.0,49.98,49.98,50.01,50.07,49.98,50.0,50.02,49.97,49.99,49.93,49.99,50.02,49.9,49.75,50.0,49.91,50.01,50.01,50.07,49.98,49.82,50.11,50.01,49.99,49.97,49.95,49.99,49.98
01:15,50.01,50.0,50.0,49.97,49.94,50.02,50.06,49.94,50.01,50.01,49.95,50.01,49.93,49.97,50.0,49.77,49.9,50.06,49.99,50.06,50.02,50.04,49.98,49.79,50.09,50.01,49.89,50.0,49.98,50.0,50.0
01:30,49.92,49.98,49.98,49.99,49.97,50.01,50.01,49.93,49.98,49.98,50.01,49.98,49.97,49.94,49.99,49.77,49.98,50.05,49.99,50.02,49.98,49.99,49.97,49.74,50.02,49.99,49.8,50.0,49.97,50.0,49.99
01:45,49.99,50.0,50.0,50.05,50.0,50.02,50.0,49.91,50.0,50.0,49.99,50.0,49.96,49.95,49.97,49.8,50.07,49.99,50.0,49.98,50.02,49.96,49.97,49.93,50.03,50.03,49.84,50.0,49.98,50.02,49.99
02:00,49.98,50.01,50.01,50.03,50.04,50.11,49.95,49.94,50.03,50.0,50.01,49.94,49.95,49.99,49.97,49.98,50.02,49.99,50.0,49.98,50.02,49.99,49.9,49.98,50.02,50.03,50.07,49.94,49.96,50.01,49.95
02:15,49.96,49.98,50.0,50.03,50.0,50.12,49.97,49.85,49.99,50.01,50.0,50.0,49.8,49.98,49.97,49.98,50.04,49.98,49.99,50.0,50.05,49.97,49.86,49.99,50.03,50.01,50.0,49.98,49.98,50.04,49.98
