,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,00:00,49.99,49.88,50.02,50.0,49.96,49.98,50.0,50.0,49.98,50.01,49.96,49.88,49.97,50.03,50.01,50.0,49.97,49.97,49.97,49.97,49.97,50.0,49.97,49.97,50.01,50.01,50.01,50.01
1,00:15,49.98,49.89,50.02,50.0,49.97,49.96,50.0,49.99,50.01,50.03,49.95,49.96,49.94,50.0,50.01,49.99,49.98,49.98,49.98,49.98,49.99,49.97,49.99,49.99,50.0,50.0,49.99,50.01
2,00:30,49.97,50.0,50.01,50.0,50.0,49.95,49.99,49.97,49.97,49.99,49.92,49.89,49.88,50.0,49.99,49.97,49.98,49.97,49.99,49.93,50.0,49.96,49.99,49.98,49.92,50.02,49.9,49.98
3,00:45,49.99,50.01,50.04,50.01,50.0,49.99,50.02,49.98,49.99,49.99,49.97,49.86,49.89,50.01,49.99,49.99,49.97,50.0,49.98,49.97,49.99,49.97,49.99,49.96,49.94,50.04,49.93,49.98
4,01:00,49.99,50.03,50.02,50.0,50.0,49.99,49.99,49.99,49.99,49.99,50.0,49.97,49.97,50.03,49.96,49.96,49.97,50.01,50.0,49.96,50.0,50.0,49.96,49.97,49.88,50.01,49.92,50.0
5,01:15,50.01,50.01,50.03,49.99,50.01,49.99,50.01,49.99,49.98,49.99,49.97,49.99,49.97,50.02,49.96,49.99,49.97,50.0,50.01,49.96,50.02,49.97,50.0,49.91,49.84,50.01,49.88,49.98
6,01:30,49.99,50.01,50.01,49.95,50.01,50.0,50.0,49.99,49.92,50.0,50.0,49.96,49.98,49.98,49.93,49.98,49.99,49.99,50.01,49.95,49.99,49.98,49.97,49.9,49.91,50.02,49.92,49.94
7,01:45,50.01,50.05,50.05,50.01,50.04,50.03,50.02,50.0,50.01,50.02,50.02,49.99,50.0,50.0,49.99,49.98,50.02,50.01,50.04,49.98,50.04,50.03,50.01,50.0,50.0,50.04,50.0,49.97
8,02:00,50.0,50.02,50.05,49.99,50.01,50.01,50.0,49.93,49.99,50.03,49.98,49.99,49.96,49.96,49.95,49.95,50.01,50.02,50.02,49.97,50.02,50.0,50.01,49.99,49.9,50.02,50.01,49.92
9,02:15,50.0,50.01,50.02,50.0,50.01,50.02,49.99,50.01,49.99,50.04,49.99,50.0,49.96,49.99,49.93,49.99,50.0,50.01,50.03,49.99,50.0,50.0,49.99,50.0,49.99,50.02,50.01,49.98
10,02:30,49.98,50.0,50.0,50.01,50.02,50.03,50.0,49.97,50.01,50.02,50.0,50.0,49.96,49.97,49.99,49.95,49.99,49.99,50.01,49.98,49.99,49.99,49.99,49.99,50.01,50.03,50.03,50.0
11,02:45,49.98,50.02,49.96,49.99,50.01,50.01,49.99,49.99,50.01,50.03,50.0,50.0,49.98,50.0,50.0,49.98,50.01,50.01,50.0,49.97,50.0,49.99,49.98,50.01,50.0,50.02,50.02,50.0
12,03:00,49.97,50.01,49.95,50.0,50.0,50.03,49.98,49.93,50.02,50.02,49.99,49.98,49.96,49.98,50.0,49.87,50.01,49.98,50.0,49.96,50.01,49.97,49.97,50.01,50.01,50.02,50.03,50.02
13,03:15,50.01,49.99,50.0,49.99,50.0,50.0,50.0,49.96,50.02,50.06,50.01,49.99,49.98,49.94,49.98,49.88,49.99,50.0,50.02,49.95,50.02,49.99,49.98,49.91,50.02,50.02,50.03,50.02
14,03:30,49.99,50.03,49.98,50.01,50.02,50.0,49.97,49.99,50.02,50.07,49.99,49.97,49.98,49.93,50.0,49.96,50.01,50.02,50.01,49.98,50.04,49.99,49.92,49.98,49.99,50.03,50.01,50.01
15,03:45,50.01,50.0,49.99,50.02,50.03,50.01,49.97,49.97,50.01,50.04,50.0,49.98,49.99,49.96,50.01,49.98,50.01,50.01,50.01,50.0,50.05,50.01,49.95,49.93,49.99,50.04,50.02,50.01
16,04:00,49.98,49.96,49.95,50.03,50.02,50.01,49.97,49.99,50.03,50.06,49.97,49.94,49.95,49.96,50.01,49.99,50.01,50.01,50.03,50.0,50.02,50.02,49.99,49.97,49.99,50.01,49.97,50.0
17,04:15,50.01,49.99,49.98,50.01,49.98,50.0,49.97,50.01,50.02,50.04,50.0,49.93,49.97,49.96,49.99,49.95,50.01,50.01,50.03,50.0,50.0,50.02,50.01,49.98,50.0,50.0,49.98,50.01
18,04:30,50.01,49.99,50.0,50.01,49.99,50.0,49.99,50.01,50.06,50.09,49.98,49.97,50.0,49.97,50.0,49.94,50.02,50.04,50.06,50.01,49.97,50.02,50.01,49.98,50.01,50.01,50.0,50.03
