,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,00:00,50.03,50.05,50.02,49.98,50.03,50.01,50.03,50.05,50.04,49.97,49.95,49.95,50.02,49.96,50.0,49.97,50.0,49.99,49.87,49.96,49.89,50.11,49.83,49.98,50.0,49.96,50.03,50.0,49.9,50.03,50.02
1,00:15,50.01,50.07,50.01,49.93,50.0,49.98,50.02,49.99,50.03,50.01,49.93,49.98,50.02,49.97,50.01,49.93,50.02,50.0,49.8,49.99,49.8,50.05,49.96,49.99,50.01,49.98,50.05,50.01,49.81,50.02,50.02
2,00:30,50.01,50.05,49.97,49.96,49.98,49.99,50.04,50.01,49.99,50.01,49.99,50.0,50.0,50.0,49.96,49.99,50.0,49.99,49.87,49.98,49.77,50.04,49.96,50.0,50.0,49.87,50.05,50.0,49.95,49.99,50.06
3,00:45,50.02,50.03,49.94,49.99,50.0,49.99,50.02,50.02,49.99,50.01,49.99,50.02,49.97,49.99,50.0,50.0,49.98,49.99,49.9,49.98,49.97,50.02,49.97,49.99,50.01,49.91,50.03,49.97,49.93,49.95,50.03
4,01:00,50.02,49.99,49.98,49.94,50.04,49.99,49.99,49.98,49.99,50.0,49.94,50.01,49.96,49.99,49.95,50.01,50.01,49.99,49.96,49.97,49.96,50.02,49.98,50.01,49.99,49.98,49.99,49.89,49.98,49.98,50.03
5,01:15,50.0,50.02,49.99,49.94,50.02,49.99,49.99,50.01,50.0,49.99,49.94,50.01,49.97,49.99,49.94,49.99,49.99,49.99,49.97,49.97,49.99,50.07,49.99,50.02,49.98,49.95,50.01,49.91,49.99,49.96,50.02
6,01:30,50.01,49.97,49.98,49.87,50.01,50.0,50.01,50.0,49.99,49.99,49.98,50.0,49.98,49.98,49.89,49.91,49.98,49.95,49.96,49.95,50.0,50.05,49.98,50.02,50.0,49.98,50.01,49.83,49.98,49.99,49.98
7,01:45,50.06,50.0,50.02,50.0,50.02,50.02,50.02,50.02,49.98,50.0,49.97,50.0,50.0,50.0,49.93,49.99,49.99,49.99,49.91,50.0,50.0,50.01,50.01,50.02,49.98,50.01,50.02,49.98,50.02,49.99,50.0
8,02:00,50.07,49.98,49.99,50.0,49.99,50.0,50.03,50.02,50.02,49.97,49.93,49.99,50.0,49.97,49.97,49.99,49.99,49.99,49.98,49.99,49.94,50.0,50.0,50.02,49.98,50.01,49.96,49.99,50.02,49.97,49.98
9,02:15,50.04,49.94,50.0,49.99,49.92,50.0,50.04,50.01,50.01,50.01,49.97,50.01,50.01,49.99,49.98,49.96,50.0,50.0,49.99,50.0,49.99,50.0,50.0,50.0,50.0,50.0,50.02,50.0,50.0,49.99,50.0
10,02:30,50.03,49.88,49.98,49.99,49.92,50.04,50.06,50.02,50.01,50.01,50.0,49.99,49.98,49.99,49.99,49.97,50.02,49.99,49.94,50.0,49.96,50.0,50.0,50.02,50.01,50.0,50.01,49.99,50.0,50.0,50.0
11,02:45,50.02,49.97,49.98,49.98,50.0,50.05,50.06,50.03,50.04,49.96,50.03,49.97,49.99,49.99,50.01,49.95,49.98,50.0,49.94,50.0,50.0,50.0,50.02,50.0,50.0,49.99,49.99,50.0,49.99,50.01,49.99
12,03:00,49.99,49.96,49.97,49.93,49.97,50.02,50.03,50.02,50.04,49.99,50.0,49.98,49.98,49.97,49.97,49.96,50.0,49.97,49.96,49.97,49.94,49.99,49.99,50.01,49.99,49.97,49.99,49.99,49.98,50.0,49.99
13,03:15,50.0,49.94,49.97,49.99,49.97,50.03,50.01,50.05,50.03,49.98,50.03,49.97,49.99,50.01,50.0,49.92,50.04,50.0,49.96,49.98,49.99,50.0,49.98,50.01,50.01,49.99,49.97,50.0,50.0,49.99,49.98
14,03:30,49.99,50.0,49.98,50.04,49.91,50.02,49.99,50.01,50.05,50.01,50.01,49.95,50.0,49.99,50.0,49.92,50.0,49.99,49.99,49.99,49.99,50.0,50.01,50.03,50.03,49.99,49.99,50.01,49.96,50.0,49.97
15,03:45,50.0,50.0,49.94,50.0,49.88,50.05,49.99,50.06,50.05,50.0,50.01,49.97,49.98,49.99,50.02,49.86,50.01,50.0,50.01,49.99,49.99,50.01,50.0,50.03,50.03,50.0,49.99,49.99,49.98,49.99,49.98
16,04:00,49.98,49.95,49.97,49.95,49.95,50.04,49.98,50.08,50.02,49.95,49.98,49.97,49.94,49.97,50.06,49.89,50.01,49.94,50.02,49.98,50.01,49.99,50.01,50.01,50.04,49.98,49.99,50.0,49.9,49.96,50.0
17,04:15,50.02,49.92,49.98,49.99,49.93,50.04,50.02,50.08,50.04,49.99,50.01,49.98,49.94,50.0,50.05,50.0,49.97,49.98,50.0,50.0,50.0,50.03,50.01,50.0,50.06,50.0,49.99,49.99,49.94,50.0,50.01
18,04:30,50.0,50.01,49.98,49.99,50.03,50.02,50.01,50.11,50.01,50.02,49.98,49.99,50.01,49.98,50.07,50.01,49.99,49.99,49.99,49.99,50.01,50.03,50.0,49.99,50.07,49.98,49.99,49.97,49.98,49.99,50.01
19,04:45,49.97,50.06,49.93,49.97,50.02,50.0,50.02,50.02,50.02,50.05,49.97,50.0,50.02,49.97,50.04,49.99,49.99,50.0,50.01,49.99,49.99,50.01,50.0,50.03,50.04,49.97,49.96,49.95,49.91,49.99,50.02
20,05:00,49.95,50.04,49.95,49.82,50.04,49.97,50.0,49.99,50.02,50.02,50.01,49.98,49.99,49.91,50.11,49.97,49.99,49.99,50.0,49.99,49.99,50.03,49.96,50.01,50.02,49.95,49.98,49.9,49.96,49.96,50.02
21,05:15,49.97,50.02,49.99,49.96,50.01,50.0,49.99,50.03,50.02,50.01,49.99,50.01,49.97,49.95,50.03,49.99,49.99,49.96,50.01,49.99,49.98,50.01,49.98,50.01,50.0,49.85,49.99,49.88,49.87,49.98,50.0
22,05:30,49.96,50.02,49.99,50.01,50.03,50.02,49.93,50.01,50.01,50.0,50.01,50.01,49.92,49.91,50.05,50.0,49.98,49.91,50.01,49.98,50.0,50.0,50.0,50.02,50.0,49.98,50.01,49.97,49.88,49.97,49.99
23,05:45,49.97,50.02,50.01,50.0,50.03,50.03,49.89,50.01,50.01,50.0,50.01,50.01,49.93,49.88,50.01,50.02,49.99,49.91,49.99,50.0,49.99,50.03,50.04,50.03,50.03,49.97,50.0,50.01,49.96,49.98,49.97
24,06:00,49.94,50.06,49.93,50.01,50.04,50.03,49.96,50.07,49.94,49.98,50.02,50.02,50.02,49.98,50.03,50.06,49.99,49.97,49.96,49.98,50.05,50.05,50.11,50.03,50.07,50.04,50.06,50.03,49.98,50.0,50.02
25,06:15,49.97,50.08,49.9,49.99,50.02,50.02,50.0,50.11,49.94,50.01,50.0,50.0,50.05,49.97,50.02,50.02,50.0,49.99,49.97,50.02,50.01,50.02,50.0,50.03,50.02,50.01,50.01,49.99,49.96,49.97,49.99
26,06:30,49.99,50.03,49.95,50.02,50.04,50.02,49.97,50.03,50.0,50.04,50.03,50.04,50.01,49.98,50.01,50.02,50.01,49.98,50.0,50.04,49.99,49.99,50.01,50.01,50.02,50.0,49.96,50.01,49.94,49.96,49.98
27,06:45,49.99,50.01,49.96,50.0,50.0,50.0,50.01,49.99,50.0,50.0,50.01,50.04,50.0,49.98,50.01,50.0,49.99,49.92,49.93,50.0,50.0,49.97,49.98,50.0,50.01,50.01,49.98,49.98,49.91,49.97,50.01
28,07:00,50.03,50.04,50.0,50.03,50.01,49.98,49.97,50.0,50.13,50.03,50.04,50.03,50.03,50.04,49.99,50.03,50.04,50.05,49.99,50.02,50.02,50.0,50.01,50.04,50.02,50.05,50.02,49.98,49.97,50.03,50.0
29,07:15,49.97,50.0,49.93,49.91,49.96,49.88,49.83,49.9,50.02,49.94,49.99,50.0,49.97,49.99,49.96,49.97,49.98,49.97,49.93,49.96,49.97,49.93,50.0,49.94,49.96,50.02,49.98,49.96,49.9,50.0,49.95
30,07:30,49.94,49.99,49.96,49.96,49.94,49.85,49.77,50.0,50.01,49.95,49.97,50.03,49.98,49.97,49.87,49.96,49.99,49.98,49.9,49.96,49.92,49.92,49.98,49.94,49.96,50.03,49.97,49.97,49.98,49.95,49.95
31,07:45,49.99,50.0,50.0,50.02,49.99,49.85,49.75,50.06,50.0,50.01,50.02,50.01,50.01,50.02,49.87,49.96,49.99,49.96,49.97,50.01,50.01,49.99,50.01,50.0,50.02,50.03,50.02,50.0,50.02,49.98,49.98
32,08:00,50.0,50.03,50.0,50.02,49.98,49.92,49.84,50.06,49.93,49.98,50.03,49.98,50.01,50.02,49.86,49.97,50.0,50.02,50.0,50.0,50.02,49.96,50.01,50.01,50.03,50.03,50.0,50.01,50.02,50.01,49.98
33,08:15,49.99,50.01,50.0,49.98,49.98,49.92,49.85,50.03,49.88,50.01,50.03,50.03,50.01,50.02,49.88,49.98,50.02,50.03,50.0,50.01,49.98,49.89,49.99,50.02,50.01,50.01,50.0,50.0,50.02,49.95,49.98
34,08:30,49.9,50.02,49.99,49.98,49.97,49.94,49.88,50.03,49.88,50.01,50.03,50.01,50.01,50.0,49.89,49.98,50.02,50.0,49.9,49.95,49.93,49.94,50.01,50.0,50.03,50.02,50.0,50.02,50.04,50.0,49.98
35,08:45,50.0,50.01,49.97,50.03,49.98,49.9,49.97,50.03,49.99,50.02,50.02,50.02,50.04,49.93,49.94,49.95,50.03,50.04,49.93,50.03,50.01,50.02,50.03,50.02,50.07,50.06,50.01,50.02,50.05,50.02,49.99
36,09:00,49.97,49.98,49.93,49.95,49.91,49.89,49.9,50.02,49.98,50.01,49.98,49.92,49.91,49.89,49.81,49.85,49.96,49.97,49.98,49.97,49.83,49.94,50.0,50.0,50.03,50.04,49.97,49.98,50.0,49.94,49.81
37,09:15,49.96,49.98,49.95,49.92,49.97,49.98,49.92,50.02,50.01,50.03,50.01,49.87,49.96,49.87,49.83,49.98,50.02,50.0,49.98,49.97,49.85,50.01,50.02,50.01,50.02,50.01,50.01,49.96,50.03,49.99,49.81
38,09:30,50.01,50.0,50.02,49.96,49.97,49.97,49.87,50.02,49.95,50.05,50.02,49.88,50.0,49.83,49.98,49.91,49.97,49.94,50.01,49.97,49.88,50.04,49.99,50.02,50.02,49.95,50.02,49.99,50.05,49.99,49.95
39,09:45,50.01,49.96,50.04,49.98,49.97,49.95,49.95,50.03,49.97,50.07,50.04,49.97,50.01,49.92,50.05,49.96,49.99,49.91,50.0,49.99,49.88,50.04,49.99,50.05,50.01,49.97,50.01,50.02,50.05,50.0,50.01
40,10:00,50.0,49.88,50.0,49.89,49.97,50.0,49.84,50.02,50.01,50.12,50.01,50.0,50.02,49.92,50.03,49.96,49.99,49.91,49.97,49.95,49.99,50.0,49.99,50.03,50.01,49.89,49.96,49.98,50.02,49.98,49.94
41,10:15,50.01,50.02,49.94,49.98,49.97,49.98,49.87,50.01,50.01,50.07,50.01,50.0,50.03,49.99,50.03,49.94,49.96,49.94,49.97,50.0,49.99,50.01,50.01,50.04,49.98,49.96,49.99,50.0,50.02,50.03,49.98
42,10:30,50.0,49.98,49.98,49.94,49.95,50.0,49.92,50.02,50.02,50.1,50.02,50.02,50.04,50.01,50.02,49.97,50.0,50.01,50.01,50.01,50.01,50.03,49.99,50.02,49.99,49.99,50.01,50.02,50.01,50.02,49.97
43,10:45,50.0,49.99,50.0,49.9,49.96,50.0,49.91,50.02,50.02,50.05,50.01,50.05,50.05,50.01,50.01,49.97,50.01,50.05,50.0,50.05,50.0,50.0,50.0,50.01,50.01,49.99,50.0,50.03,50.04,50.04,50.0
44,11:00,50.0,49.99,50.04,50.0,49.94,50.01,49.9,50.07,50.04,50.04,50.03,50.06,50.07,50.02,50.07,49.97,50.04,50.02,49.99,50.04,50.01,49.95,50.04,50.04,49.97,49.99,49.99,50.01,49.94,50.01,50.0
45,11:15,50.02,50.0,50.0,49.98,49.92,49.9,49.84,50.04,49.98,50.05,50.02,50.06,50.08,50.04,50.06,49.99,50.0,50.04,49.93,50.05,49.96,49.96,50.03,50.01,49.94,50.0,49.99,49.97,49.98,49.99,50.0
46,11:30,50.02,50.02,50.02,50.02,49.9,49.87,49.91,50.03,49.98,50.01,50.01,50.09,50.06,50.04,50.02,49.94,50.0,50.03,49.85,50.05,50.03,49.86,50.02,50.0,49.98,49.99,49.97,49.99,49.99,49.91,49.99
47,11:45,50.05,50.01,50.0,50.02,49.9,49.91,49.96,49.96,49.98,50.0,50.03,50.09,50.02,50.08,49.99,49.93,49.99,49.98,49.94,50.05,50.05,49.85,50.03,50.0,49.96,49.99,50.02,49.97,49.97,49.97,50.01
48,12:00,50.04,50.0,50.0,50.03,49.98,49.99,49.95,49.95,50.03,49.98,50.04,49.98,50.03,50.12,49.99,49.94,49.96,49.99,49.92,50.1,50.06,49.98,50.04,50.0,49.93,49.92,50.03,49.96,49.97,49.97,50.03
49,12:15,49.99,49.98,49.87,50.06,49.91,50.01,49.98,49.9,50.01,49.99,50.02,50.03,49.98,50.0,50.02,49.98,49.98,50.0,49.98,50.07,50.02,49.99,49.96,50.0,49.8,49.83,50.04,49.9,49.99,50.0,50.0
50,12:30,49.97,50.01,49.87,50.04,49.96,49.98,49.93,49.9,49.99,49.99,50.05,49.97,49.99,50.01,49.97,49.99,49.97,50.0,50.01,50.01,50.03,50.0,49.98,49.98,49.96,49.84,50.05,49.97,50.0,50.02,50.0
51,12:45,50.01,50.04,49.96,49.98,50.01,50.02,49.89,49.96,50.0,49.99,50.03,50.01,50.02,50.04,49.99,49.98,50.01,50.01,50.03,50.04,50.03,50.0,49.99,49.93,49.98,49.96,50.03,50.01,50.03,50.05,50.01
52,13:00,49.99,50.04,49.97,50.01,50.01,50.02,50.01,49.99,50.08,50.07,50.18,50.02,50.09,50.16,50.09,50.0,50.01,50.07,50.06,50.09,50.11,50.05,50.03,50.04,50.05,49.97,50.07,50.0,50.11,50.06,50.02
53,13:15,50.04,50.06,49.98,50.06,49.99,50.07,50.01,50.0,50.06,50.05,50.07,50.02,50.03,50.11,50.01,49.98,50.0,50.04,50.06,50.04,50.06,50.01,50.01,50.01,50.02,50.01,50.05,50.02,50.03,50.01,50.01
54,13:30,50.02,50.02,49.97,50.06,50.01,50.06,49.94,49.96,50.05,50.03,50.02,49.99,50.05,50.05,49.99,49.99,49.99,49.97,50.06,49.97,50.04,49.98,50.0,49.99,49.95,49.98,50.03,50.01,50.0,50.01,50.01
55,13:45,50.02,50.0,49.98,49.99,50.0,50.08,50.0,50.02,50.02,50.04,50.0,50.02,49.99,50.06,49.99,50.02,50.01,50.02,50.05,49.99,50.05,50.01,50.03,50.01,50.0,50.0,50.04,50.04,50.04,50.04,50.01
56,14:00,50.06,50.07,49.97,49.94,49.93,50.03,49.98,50.03,50.08,50.02,49.96,50.06,50.06,50.11,49.99,50.1,50.03,50.0,50.03,49.94,50.11,50.02,50.08,49.94,50.01,50.01,49.99,50.02,50.01,50.11,49.97
57,14:15,50.03,50.01,49.96,49.82,49.93,50.01,50.01,49.99,50.04,50.02,49.91,50.0,50.01,50.02,50.0,50.01,50.02,50.02,50.01,49.9,50.01,49.98,50.05,49.98,49.99,49.99,49.97,49.97,49.97,50.03,49.96
58,14:30,50.0,50.0,49.97,49.85,49.95,49.97,49.99,50.0,50.02,49.96,49.92,49.99,49.99,49.96,50.01,50.03,50.03,49.97,49.99,49.88,49.99,49.96,50.07,49.98,49.99,50.02,49.96,49.98,49.95,50.0,49.94
59,14:45,50.0,49.98,49.88,49.96,49.98,50.0,50.02,50.0,50.02,50.05,49.85,50.0,49.99,49.91,50.01,50.01,50.03,50.02,49.98,49.91,49.98,49.9,50.03,49.98,50.01,50.0,49.97,49.95,49.96,50.02,49.91
60,15:00,50.02,50.01,49.9,49.96,50.01,50.07,50.04,50.0,50.1,50.15,49.97,50.06,50.01,50.04,50.02,50.03,50.08,50.03,50.02,49.97,50.03,49.99,50.07,50.01,50.06,50.02,50.01,49.9,49.97,50.07,49.98
61,15:15,50.02,49.95,49.86,49.81,49.98,50.0,49.99,50.0,50.04,50.01,49.91,50.0,49.87,49.98,49.97,50.0,50.03,49.98,49.99,50.0,50.02,49.99,50.02,50.0,49.97,49.97,49.97,49.83,49.92,50.0,49.96
62,15:30,50.05,49.97,49.97,49.95,50.0,49.99,49.96,49.99,50.06,50.01,50.0,50.01,49.98,49.96,50.0,50.0,50.0,49.97,49.98,49.99,50.01,49.94,50.02,49.97,49.98,49.99,49.97,49.9,49.86,49.99,49.88
63,15:45,50.01,49.95,49.94,49.9,49.95,49.99,49.94,49.96,50.03,50.0,49.99,50.02,49.95,49.86,50.0,49.97,49.96,49.9,50.01,49.99,50.0,49.87,50.03,49.99,49.94,49.96,49.98,49.97,49.8,49.99,49.91
64,16:00,50.03,50.0,49.95,50.0,49.95,49.99,50.07,49.98,50.02,50.04,50.01,50.04,50.03,49.98,50.06,50.01,50.0,50.01,50.03,50.05,50.04,49.96,50.09,50.04,50.01,50.05,50.03,50.01,49.95,50.04,49.99
65,16:15,50.02,50.01,49.9,49.97,49.85,49.9,50.06,49.99,49.98,50.0,49.99,50.01,50.01,49.93,49.99,49.97,49.97,49.99,49.99,50.01,49.97,49.89,50.0,50.03,49.99,50.0,49.99,49.97,49.95,49.99,49.97
66,16:30,50.01,49.99,49.97,49.99,49.87,49.81,50.02,49.98,49.98,49.99,49.93,50.03,49.97,50.01,49.99,49.91,49.97,50.0,49.97,49.98,49.99,49.94,50.03,50.0,50.02,50.0,50.0,50.0,49.88,50.01,49.97
67,16:45,50.05,50.01,49.93,49.99,49.99,49.99,50.04,49.96,49.95,49.98,49.88,50.03,49.98,49.99,50.01,49.91,49.92,49.99,50.02,49.94,49.97,49.89,50.02,49.99,49.94,50.0,50.0,50.02,49.73,49.96,49.92
