,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,00:00,49.89,49.94,49.99,49.87,49.81,49.91,50.01,50.0,50.03,49.93,50.01,49.84,49.93,49.87,49.95,49.98,50.0,50.02,50.04,50.06,50.0,50.0,49.97,49.84,49.97,49.98,49.88,49.81,50.02,50.02
1,00:15,49.96,49.89,49.99,49.83,49.88,49.98,49.99,50.01,50.01,49.9,50.02,49.89,49.92,49.99,50.0,49.98,50.01,50.03,50.05,50.06,49.98,49.96,49.98,49.9,50.0,49.96,49.89,49.87,50.04,50.01
2,00:30,49.98,49.92,49.96,49.91,49.91,49.87,50.0,50.01,50.0,49.98,50.05,49.94,49.96,50.0,50.02,50.02,50.04,50.04,50.04,50.05,50.01,49.89,49.95,49.94,49.92,49.95,49.98,49.93,50.03,50.01
3,00:45,49.99,49.95,49.99,49.81,49.94,49.82,49.99,50.02,50.02,50.01,50.02,49.98,49.87,50.0,50.04,50.04,50.07,50.03,50.01,50.01,49.95,49.95,49.99,49.93,49.98,49.97,49.99,49.99,50.03,50.04
4,01:00,49.99,49.94,49.98,49.81,49.9,49.91,50.02,50.01,50.02,50.0,50.0,50.0,49.92,49.99,50.01,50.06,50.1,50.01,49.99,49.91,49.94,49.96,50.01,49.92,49.96,49.96,49.98,50.0,50.04,50.01
5,01:15,49.93,50.0,49.96,49.83,49.86,49.84,50.03,50.03,50.03,50.02,50.0,49.94,49.88,50.0,50.02,50.06,50.08,50.01,49.97,49.94,49.94,49.95,50.0,49.87,49.98,49.88,49.97,49.97,50.01,49.96
6,01:30,49.97,49.99,49.95,49.82,49.83,49.95,49.99,50.01,50.06,50.01,49.98,49.99,49.83,49.9,50.02,50.05,50.1,49.95,49.92,49.96,49.98,49.9,50.0,49.81,49.93,49.86,49.99,49.86,49.98,49.97
7,01:45,50.02,50.03,49.97,49.89,50.0,50.0,49.95,50.03,50.05,50.03,49.99,49.98,49.91,50.01,50.0,50.03,50.06,50.0,49.93,49.99,49.97,49.94,49.98,49.95,49.99,49.93,49.99,49.9,49.99,50.01
8,02:00,49.96,50.01,49.89,49.91,49.9,50.0,49.97,50.0,50.01,49.99,49.98,49.91,49.87,49.9,49.99,49.98,50.06,49.95,49.95,49.95,50.01,49.84,49.99,49.94,49.95,49.95,49.9,49.9,49.93,49.98
9,02:15,49.99,50.02,49.89,49.86,49.84,49.99,49.87,49.99,50.01,50.0,50.0,49.91,49.88,50.01,49.99,49.98,50.04,50.0,49.92,49.94,50.04,49.73,50.0,49.96,49.99,49.88,49.89,49.98,49.96,49.96
10,02:30,49.99,50.01,49.85,49.94,49.87,50.01,49.85,50.0,50.04,50.01,49.98,49.9,49.99,49.99,49.99,49.88,50.02,49.98,49.95,50.0,50.03,49.86,49.98,49.99,49.92,49.9,49.85,49.98,50.0,49.92
11,02:45,49.99,50.02,49.9,49.9,49.95,50.04,49.88,50.02,50.06,50.03,50.0,49.94,49.98,50.0,50.03,49.9,50.02,49.97,50.01,50.02,50.03,49.91,50.01,49.99,49.92,49.97,49.96,49.98,50.0,49.99
