,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,00:00,49.96,49.99,50.01,49.92,49.98,49.97,49.95,50.01,49.91,50.01,49.96,50.0,49.96,50.0,49.97,49.96,49.84,49.92,49.98,49.93,49.95,49.94,49.83,49.88,49.8,49.82,49.91,50.0,49.85,49.85,49.94
1,00:15,49.99,49.99,49.98,49.97,50.0,49.99,49.98,50.0,49.96,50.0,49.92,50.0,49.98,50.0,49.95,49.94,49.87,49.96,50.02,49.95,49.98,49.96,49.86,49.98,49.78,49.79,50.01,50.02,49.92,49.94,49.95
2,00:30,49.99,49.99,49.99,49.96,49.99,49.99,49.99,50.01,49.95,50.0,49.88,50.01,49.98,50.0,49.88,49.91,49.84,49.94,50.01,49.83,49.98,49.92,49.91,49.92,49.91,49.85,50.0,50.0,49.93,49.91,49.95
3,00:45,49.98,50.01,49.98,49.96,49.99,49.99,49.98,50.0,49.98,50.01,49.95,50.0,49.99,50.0,49.86,49.95,49.83,49.96,50.0,49.88,49.97,49.85,49.95,49.89,49.9,49.83,50.0,50.02,49.92,49.85,49.85
4,01:00,49.99,50.01,49.94,49.89,50.01,50.02,50.0,50.0,49.97,50.03,49.95,50.0,50.01,50.01,49.96,49.95,49.92,49.98,49.97,49.93,49.98,49.88,49.93,49.98,49.97,49.89,50.0,50.01,49.99,49.95,49.91
5,01:15,49.98,50.02,49.95,49.92,49.99,50.02,49.99,50.0,49.96,50.02,49.9,50.0,49.99,50.0,49.94,49.93,49.87,49.98,50.0,49.88,49.99,49.92,49.85,49.97,49.95,49.9,50.01,50.01,49.97,49.98,49.91
6,01:30,49.99,49.99,49.97,49.82,49.99,50.01,49.98,49.99,49.89,49.99,49.93,49.99,49.97,49.98,49.86,49.84,49.72,49.88,49.97,49.87,49.88,49.99,49.89,49.99,49.91,49.84,49.98,49.99,49.95,49.95,49.82
7,01:45,49.99,50.02,50.0,49.98,50.01,50.04,50.0,50.02,49.91,49.99,49.99,50.03,50.0,50.01,49.93,49.94,49.9,49.91,50.0,49.99,49.94,49.95,49.99,50.01,49.98,49.97,50.02,50.0,49.96,50.01,50.0
8,02:00,50.01,50.01,49.97,50.0,50.0,50.02,49.98,50.01,49.97,49.99,49.97,50.01,49.99,50.03,49.96,49.95,49.93,50.0,49.94,50.0,50.0,49.97,49.92,50.01,49.96,49.98,50.01,50.01,49.95,50.01,49.93
9,02:15,50.01,49.99,49.97,49.99,49.99,50.02,50.0,50.01,49.96,50.0,50.0,50.0,50.01,50.01,49.88,49.97,49.85,49.99,49.93,49.98,50.01,49.87,49.9,49.97,49.99,49.98,50.02,50.01,49.96,50.0,49.96
10,02:30,50.0,50.03,49.97,50.01,50.0,50.03,49.98,50.02,49.99,50.01,49.99,50.01,50.01,49.99,49.95,49.98,49.93,50.0,49.95,49.99,50.0,49.85,49.89,49.97,49.89,50.0,50.02,50.02,49.97,50.01,49.94
11,02:45,49.99,50.03,49.99,50.02,50.0,50.05,50.0,50.04,50.0,50.0,50.02,50.01,50.0,50.02,49.97,49.97,49.96,50.0,50.0,50.02,50.0,49.93,49.85,50.0,49.87,50.0,50.03,50.04,49.99,50.01,49.97
12,03:00,49.91,50.02,49.94,50.01,49.99,50.02,50.01,50.03,49.94,50.0,50.03,50.0,49.98,50.01,49.96,49.95,49.95,50.0,49.99,49.97,49.97,49.88,49.94,49.97,49.75,49.93,50.04,50.02,49.98,50.01,49.96
13,03:15,49.97,50.01,49.99,50.02,49.95,50.03,50.03,50.0,49.92,49.99,50.0,49.99,50.0,49.99,49.99,49.95,49.93,49.98,50.01,49.99,49.99,49.8,49.97,49.96,49.78,49.92,50.03,50.02,50.0,50.01,49.96
14,03:30,49.99,50.0,50.01,50.02,49.97,50.01,50.04,50.02,49.96,49.97,49.99,49.99,49.97,50.01,49.98,49.97,49.94,50.0,50.01,49.99,49.99,49.88,49.93,49.94,49.85,49.97,50.03,50.03,50.0,50.0,49.97
15,03:45,49.99,50.0,50.02,49.99,50.0,50.03,50.05,50.01,49.99,49.99,50.0,49.99,49.97,50.03,50.0,49.99,49.98,50.01,50.03,49.98,50.01,49.87,49.96,49.98,49.89,49.94,50.04,50.02,50.0,50.0,49.97
16,04:00,49.93,50.0,50.06,49.95,49.97,50.01,50.01,50.03,49.97,49.96,50.0,49.99,49.9,50.06,49.97,49.93,49.95,50.0,50.02,49.97,49.98,49.96,49.9,49.92,49.86,49.94,50.03,50.02,50.02,50.0,49.88
17,04:15,49.99,50.02,50.07,49.97,49.97,50.0,50.01,50.01,49.98,49.99,50.01,50.0,49.94,50.03,49.98,49.97,49.89,49.99,50.04,50.02,50.0,49.93,49.86,49.87,49.77,49.87,50.04,50.02,49.99,50.0,49.88
18,04:30,49.98,50.04,50.08,49.99,49.96,50.01,50.01,50.02,49.99,49.98,50.01,50.0,49.96,50.02,50.0,49.96,49.82,49.99,50.04,49.99,49.98,49.96,49.89,49.93,49.8,49.92,50.04,50.06,50.01,49.99,49.91
19,04:45,49.98,50.05,50.04,50.01,49.96,50.0,50.01,49.98,49.99,50.0,50.0,50.0,49.99,50.01,49.99,49.96,49.79,49.99,50.05,50.01,49.95,49.94,49.83,49.84,49.89,49.86,50.03,50.02,49.99,49.96,49.8
20,05:00,49.97,50.03,50.03,49.95,49.97,49.99,50.0,49.96,49.97,49.94,49.96,49.98,49.96,49.97,49.98,49.93,49.73,50.01,50.12,50.01,49.94,49.85,49.75,49.83,49.83,49.84,49.99,49.99,49.99,49.95,49.81
21,05:15,49.98,50.0,50.01,49.9,49.99,49.99,49.99,50.01,49.96,49.97,49.99,49.97,49.96,50.01,49.99,49.93,49.75,50.02,50.05,50.01,49.9,49.91,49.82,49.78,49.73,49.86,49.99,50.0,49.95,49.95,49.77
22,05:30,50.02,50.0,50.0,49.97,50.0,49.99,49.99,49.99,49.95,49.99,49.96,49.99,50.01,50.02,49.94,49.95,49.95,50.02,50.07,50.01,49.95,49.85,49.91,49.89,49.86,49.97,49.98,49.99,49.95,49.95,49.84
23,05:45,50.03,50.02,50.02,50.01,50.02,50.02,49.99,50.03,49.92,50.0,49.96,49.99,50.0,50.03,49.96,50.0,49.93,50.04,50.06,50.01,49.95,49.89,49.95,49.98,49.92,49.98,50.02,50.03,49.96,50.0,49.83
24,06:00,50.03,50.06,50.04,49.98,50.02,50.04,49.98,50.02,49.92,50.02,49.92,49.97,50.02,50.04,49.93,49.91,49.94,50.08,50.09,50.02,49.97,49.92,49.99,50.0,49.98,49.98,50.04,50.03,49.98,49.99,50.01
25,06:15,50.01,50.02,50.0,49.95,49.99,50.02,49.98,49.98,49.91,49.97,49.89,49.98,49.98,50.0,49.87,49.9,49.99,50.04,50.03,50.01,49.96,49.89,49.92,49.99,49.84,49.91,50.0,49.99,49.96,49.94,49.93
26,06:30,50.04,50.02,50.03,49.95,49.98,50.04,50.0,50.01,49.91,49.96,49.85,49.99,49.98,50.01,49.85,49.92,49.99,50.01,50.04,50.0,50.0,49.92,49.95,50.0,49.69,49.98,50.03,50.02,49.98,49.99,49.89
27,06:45,49.98,50.03,50.03,49.88,49.99,50.04,49.99,49.99,49.83,49.92,49.74,49.99,50.01,49.97,49.85,49.86,49.99,50.02,50.03,50.0,50.0,49.88,49.86,50.0,49.73,49.97,50.04,50.02,50.01,50.0,49.91
28,07:00,49.99,50.03,50.01,49.85,49.99,50.03,49.96,50.01,49.87,49.88,49.87,49.98,50.02,49.99,49.9,49.94,49.97,50.02,50.06,49.99,50.01,49.99,49.98,50.01,49.93,49.96,50.02,50.03,49.98,50.0,49.93
29,07:15,50.01,50.03,50.02,49.92,50.0,50.02,49.87,50.02,49.9,49.96,49.84,50.0,50.02,50.02,49.94,49.99,50.0,50.05,50.04,50.02,50.02,50.01,50.01,49.97,49.85,49.91,50.03,50.03,50.02,50.03,49.95
30,07:30,50.02,50.06,50.05,50.0,50.01,50.03,49.98,50.02,49.95,49.99,49.99,50.02,50.04,50.02,50.01,50.01,49.97,50.05,50.04,50.02,50.0,49.96,49.97,49.9,49.98,49.94,50.03,50.05,50.02,50.02,49.96
31,07:45,50.03,50.06,50.06,50.03,50.03,50.05,50.01,50.04,50.02,50.03,50.03,50.04,50.04,50.04,50.05,50.03,50.03,50.03,50.06,50.03,49.97,50.01,50.02,49.99,50.02,50.0,50.06,50.03,50.04,50.06,50.02
32,08:00,50.02,50.02,50.02,50.01,50.04,50.03,50.03,50.02,50.02,50.0,49.99,50.01,50.01,50.01,50.01,49.98,50.02,50.01,50.03,50.01,49.98,49.98,50.0,49.95,50.0,49.94,50.06,50.02,49.99,50.04,49.97
33,08:15,50.01,50.02,50.01,49.98,50.03,50.04,50.03,50.01,50.03,50.0,49.97,50.03,50.0,50.04,50.0,50.01,50.0,49.97,49.99,50.0,49.97,49.92,49.97,49.87,49.96,49.96,50.07,50.02,50.03,50.02,49.99
34,08:30,49.99,50.01,49.97,50.01,50.03,50.02,50.04,50.02,50.02,49.98,49.96,50.01,49.99,50.02,49.95,50.01,50.01,49.98,50.0,50.01,49.96,49.87,49.98,49.9,49.92,49.98,50.03,50.01,50.01,50.04,50.01
