,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,00:00,50.01,49.98,49.96,50.0,49.97,50.01,49.97,50.01,49.98,49.99,50.01,50.04,50.0,50.0,50.01,50.0,50.0,49.99,49.98,49.98,49.99,50.01,49.99,50.0,50.04,49.98,49.96,50.0,49.89,50.0
1,00:15,50.0,50.01,49.93,50.01,50.0,50.01,49.95,50.0,50.0,50.0,50.0,50.03,50.01,50.0,49.99,49.98,49.98,50.01,49.92,49.98,49.98,50.02,49.97,49.98,50.06,49.99,49.9,49.93,49.89,49.99
2,00:30,50.0,50.01,49.99,50.0,50.0,50.01,49.95,50.01,49.93,49.99,50.0,50.0,50.01,50.0,49.97,49.93,49.97,50.02,49.85,49.97,49.98,49.94,49.91,49.96,50.06,49.98,49.96,49.99,49.87,50.01
3,00:45,50.01,50.01,49.98,49.99,50.0,50.01,50.0,50.0,49.98,49.98,49.97,50.03,50.02,50.0,49.99,49.97,49.99,50.01,49.89,49.99,49.92,49.94,49.9,49.95,50.1,49.99,49.99,49.98,49.97,50.03
4,01:00,49.97,50.01,49.92,49.99,50.0,50.0,49.99,50.01,50.0,50.01,49.99,50.01,50.03,50.0,50.01,49.97,49.99,49.99,49.97,49.99,49.97,49.95,49.91,49.96,50.1,49.87,49.99,49.97,49.99,50.0
5,01:15,49.99,50.01,49.91,50.01,49.98,50.01,49.98,49.99,49.97,49.99,49.98,50.01,50.03,50.03,50.01,49.99,49.99,49.92,49.98,49.99,49.95,49.99,49.97,49.9,50.11,49.94,50.0,49.91,50.0,50.02
6,01:30,50.0,49.99,49.93,49.99,50.0,50.0,49.97,49.98,49.93,49.95,50.0,49.99,50.03,50.03,50.01,49.96,49.97,49.89,49.92,49.92,49.88,49.98,49.92,49.97,50.04,49.86,49.96,49.74,49.99,49.99
7,01:45,50.0,50.0,49.99,50.02,50.0,50.01,49.97,50.0,49.95,49.99,49.99,49.99,50.02,50.01,50.01,49.99,49.99,50.0,49.98,49.98,49.91,50.0,49.94,50.0,50.02,49.94,49.99,49.93,50.0,50.01
8,02:00,50.01,49.98,49.99,50.0,49.98,50.02,49.99,49.98,49.98,49.98,49.99,49.99,50.02,49.99,50.0,49.98,49.98,49.95,49.98,50.0,49.99,49.99,49.91,50.01,49.99,49.93,49.98,49.95,50.0,49.99
9,02:15,50.01,49.98,49.99,50.0,49.98,50.0,49.97,50.0,50.0,49.93,49.99,50.02,49.99,49.98,50.0,50.02,49.98,49.99,49.98,49.98,49.97,50.0,49.95,49.99,49.99,49.88,49.99,49.99,50.0,49.99
10,02:30,50.03,50.0,49.98,49.97,50.0,49.99,49.95,49.99,49.99,49.97,49.99,50.03,49.98,50.01,50.0,49.99,50.0,50.0,49.96,49.99,50.0,49.99,49.97,50.03,50.01,49.97,50.0,49.99,50.0,49.99
11,02:45,50.04,50.01,49.99,49.97,50.0,50.0,50.0,50.01,50.0,49.99,50.01,50.02,49.98,50.04,50.0,50.01,49.99,49.99,49.97,49.99,50.0,49.98,49.99,50.0,50.0,49.97,49.97,50.0,50.02,50.0
12,03:00,50.04,50.0,49.98,49.99,50.0,50.01,49.97,49.97,50.0,50.0,50.0,50.03,49.99,50.03,50.01,49.99,50.0,49.99,49.96,49.99,50.0,49.98,49.99,50.0,49.94,49.95,49.97,49.99,50.04,50.0
13,03:15,50.04,50.0,49.96,49.92,49.98,50.05,49.97,50.02,49.99,49.99,50.03,50.02,49.99,50.04,50.0,49.95,49.99,49.99,49.95,50.0,50.02,49.98,49.99,50.01,49.98,49.94,49.9,49.99,50.02,49.99
14,03:30,50.02,49.99,49.91,49.98,50.0,50.04,50.01,50.02,50.0,50.02,50.04,50.03,50.01,50.04,50.03,50.01,49.99,50.01,49.99,50.0,50.0,49.98,50.0,50.02,50.0,49.95,49.92,50.02,50.0,50.01
15,03:45,50.05,50.0,49.94,50.0,50.0,50.07,50.0,50.02,49.99,50.01,50.03,50.04,50.01,50.02,50.04,50.01,50.03,50.01,50.0,50.02,50.03,49.98,50.0,50.05,50.01,49.91,49.85,50.02,50.01,50.02
16,04:00,50.02,49.99,49.97,50.0,49.99,50.05,49.98,50.0,49.98,49.99,50.06,50.03,50.01,50.05,50.02,50.0,50.04,49.98,49.97,50.01,49.99,50.02,50.0,50.0,49.97,49.92,49.92,49.98,50.01,50.02
17,04:15,50.02,50.0,49.97,50.02,49.98,50.03,50.0,49.99,50.0,49.97,50.05,50.04,50.02,50.02,50.0,49.99,49.98,50.01,49.93,49.99,49.99,49.99,50.01,50.01,50.0,49.96,49.9,49.93,49.98,49.99
18,04:30,50.01,49.98,49.97,50.01,49.98,50.03,50.02,50.0,49.99,49.96,50.02,50.03,50.0,50.0,49.98,49.99,49.98,50.06,49.97,49.99,50.01,49.99,50.0,50.02,50.0,49.98,50.01,50.0,50.0,49.99
19,04:45,50.0,49.96,49.99,50.01,49.97,50.05,50.0,50.0,49.98,49.96,50.01,50.04,50.02,50.01,50.01,49.99,49.98,50.02,49.98,49.99,49.98,50.0,50.01,50.01,50.01,49.91,49.95,49.93,49.96,49.97
20,05:00,50.05,50.01,49.99,49.98,49.99,50.04,50.01,49.99,49.97,49.96,50.0,50.01,50.02,50.01,50.02,49.96,49.99,50.0,49.99,49.97,50.0,49.98,50.01,49.98,50.04,49.9,50.0,49.96,49.99,50.01
21,05:15,50.02,50.01,49.98,49.99,50.02,50.0,50.03,49.98,49.99,49.93,49.99,50.01,50.02,50.01,50.01,49.98,49.96,50.02,49.98,49.98,49.98,49.99,50.03,50.0,50.03,49.93,49.98,49.99,49.95,50.02
22,05:30,50.04,50.04,50.01,50.01,50.02,50.02,49.99,50.0,50.0,49.89,50.0,50.02,50.02,50.0,50.0,50.02,49.93,50.03,49.96,49.99,50.0,50.0,50.0,50.0,50.02,49.93,49.96,50.0,50.0,50.04
23,05:45,50.03,50.09,50.0,50.03,50.01,50.02,50.0,50.02,50.01,49.94,50.01,50.03,50.03,49.98,50.01,50.07,49.88,50.03,49.97,50.03,50.01,50.01,49.98,49.99,50.02,49.9,49.95,49.98,50.03,50.03
24,06:00,50.06,50.17,50.01,50.04,50.01,50.0,50.01,50.02,50.01,49.94,49.99,50.03,50.04,49.94,50.0,50.05,49.92,50.02,49.99,50.05,50.03,50.01,50.01,50.01,50.05,49.96,49.96,49.95,49.98,50.05
25,06:15,50.0,50.04,50.01,49.99,50.0,49.98,49.98,50.0,49.98,49.97,49.96,49.99,50.0,49.91,49.98,50.0,49.83,49.98,49.95,50.01,50.0,49.97,50.01,49.92,50.0,49.92,49.89,49.75,49.89,49.96
26,06:30,50.02,50.02,50.01,50.02,50.01,50.0,49.99,50.0,49.99,49.96,49.99,50.0,50.02,49.9,50.01,50.01,49.97,49.97,49.93,50.0,50.01,50.02,49.99,49.93,49.99,49.92,49.89,49.91,49.9,49.98
27,06:45,50.05,50.01,49.99,50.02,50.01,50.0,49.99,50.01,50.0,49.97,50.0,50.0,50.03,50.01,50.01,50.03,50.02,50.01,50.02,50.03,50.05,50.01,50.03,50.01,49.98,49.92,49.86,49.88,49.91,49.98
28,07:00,50.05,50.0,49.97,50.03,50.02,49.98,49.99,50.02,50.0,50.01,50.04,50.05,50.06,50.0,50.03,50.08,50.0,49.99,49.99,50.04,50.02,50.03,50.04,50.03,50.0,49.96,49.96,49.95,49.93,50.0
29,07:15,50.04,50.03,50.0,50.04,50.02,49.98,50.01,49.98,49.99,50.0,50.06,50.06,50.07,50.0,50.04,50.05,49.99,49.99,50.02,50.04,50.03,50.02,50.05,50.03,50.0,50.0,49.96,49.97,49.93,49.93
30,07:30,50.01,50.01,49.98,50.01,49.98,49.96,50.03,49.97,50.02,50.0,50.05,50.05,50.03,50.01,50.04,50.02,50.04,50.01,50.01,50.0,50.0,49.99,50.03,50.04,49.97,50.01,49.99,50.02,49.94,49.93
31,07:45,50.02,50.03,49.99,50.02,50.0,49.98,50.04,49.98,49.99,50.05,50.04,50.07,50.04,50.05,50.11,50.06,50.06,50.0,50.01,49.99,49.96,49.98,50.06,50.09,49.97,50.0,50.0,50.04,49.99,49.99
32,08:00,50.01,50.03,50.0,49.98,49.96,49.93,50.02,49.99,50.02,50.04,50.07,50.05,50.01,50.03,50.09,50.02,50.09,49.94,50.02,49.96,49.94,50.01,50.07,50.05,49.94,49.94,49.9,50.0,49.88,49.97
33,08:15,50.01,50.01,50.03,50.0,49.92,49.84,50.03,50.0,50.0,50.0,50.07,49.98,50.0,50.03,50.07,50.01,50.06,49.99,50.02,49.94,49.9,49.99,50.04,50.02,49.99,50.02,49.92,50.01,49.96,49.97
34,08:30,50.02,50.03,50.07,49.92,49.94,49.98,50.0,49.97,49.99,49.94,50.03,50.01,50.02,50.01,50.02,50.01,50.03,49.98,49.99,50.0,50.0,49.99,50.04,50.0,50.01,50.02,49.89,49.98,49.93,49.93
35,08:45,50.04,50.09,50.05,50.01,50.06,49.97,50.02,49.99,50.02,50.0,50.03,50.02,50.05,50.07,50.05,50.0,50.02,50.01,50.02,50.01,50.0,50.0,50.06,50.03,50.04,50.05,49.93,50.0,49.98,49.89
36,09:00,49.99,50.06,50.01,49.89,50.05,49.91,50.0,50.01,49.98,49.95,50.03,49.99,50.05,50.08,50.03,49.94,49.95,49.99,50.01,50.02,49.97,50.0,50.04,50.03,49.97,50.05,49.93,49.93,49.86,49.95
37,09:15,50.0,50.05,50.01,49.86,50.06,49.95,50.02,50.02,50.02,49.98,50.06,50.01,50.03,50.04,50.0,49.95,49.98,49.96,50.0,50.0,49.96,49.99,50.04,50.03,50.0,50.01,49.94,49.97,49.9,50.0
38,09:30,49.99,50.02,50.0,49.91,50.0,49.92,50.04,50.01,50.03,49.98,50.02,49.99,50.04,49.97,50.01,49.99,49.94,49.94,49.98,50.04,49.91,49.94,50.03,50.01,49.98,50.01,49.97,49.92,49.92,49.98
39,09:45,50.0,50.01,50.07,50.01,49.97,49.97,50.04,50.03,50.02,49.97,50.0,50.02,50.01,50.0,50.02,50.02,49.99,50.04,50.01,50.02,49.98,50.0,50.04,50.02,50.0,50.02,50.0,49.98,49.95,49.99
40,10:00,49.99,49.97,50.05,50.03,50.0,49.99,50.03,50.11,50.01,50.03,49.99,50.0,50.03,50.02,50.01,49.98,50.02,50.03,49.96,50.04,50.0,50.03,50.02,50.02,50.0,50.06,49.97,49.96,49.92,50.0
